자주,성찰,날짜
자주적인 생활의 의미를 알고 실천하기 위해 계획을 세운 후 꾸준히 실천함.,올바른 삶의 의미를 알고 지속적으로 자기반성을 하면서 자신을 가꾸어 나가는 것에 노력하는 모습을 보임.,2024-03-13
자주적인 생활의 가치와 중요성을 알고 스스로 세운 계획을 실천하기 위해 노력함.,올바른 삶의 의미와 가치를 알고 올바르게 살아가기 위해 스스로 성찰하며 자신을 성장시키고자 하는 모습을 보임.,2024-03-20
자주적인 생활이 습관화될 수 있도록 자신이 할 수 있는 일을 계획하고 지속적으로 실천함.,자신을 돌아보며 성찰하고 개선해 나가는 것의 중요성과 의미를 깨닫고 올바른 삶을 살아가기 위해 노력함.,2024-03-27
자신이 스스로 할 수 있는 일을 찾아 계획을 세우고 꾸준히 실천하며 자주적인 삶을 내재화 함.,다양한 사례 속 인물들이 자기 반성을 하는 모습을 살펴보면서 모델링으로 학습한 내용을 자신의 삶에 적용하여 올바른 삶을 살아가기 위해 노력함.,2024-04-03
스스로 해낼 수 있는 일에는 무엇이 있는지 찾아보고 자주적인 삶을 살아가기 위해 계획한 후 실천함.,자신을 돌아볼 수 있는 방법에 어떤 것들이 있는지 알아보고 원하는 방법을 골라 자기 성찰을 함.,2024-04-17
자신의 생활을 돌아보고 자주적인 삶의 수준을 높이기 위해 스스로 할 수 있는 일들을 찾아 계획을 세운 후 실천함.,본인의 말과 행동을 돌아보고 올바른 삶이 되기 위해서 어떤 노력을 기울여야 할지 깊이 있게 고민하고 실제 생활 속에서 실천하고자 노력함.,2024-04-24
자주적인 삶이 습관화되도록 자신의 일을 찾아 계획하고 꾸준히 실천하는 모습을 보임.,나의 말과 행동이 스스로에게 또는 상대방에게 어떤 영향을 미쳤을지 생각하며 성찰해보고 더 올바른 삶이 되기 위해서는 어떻게 행동하면 좋을지 고민하고 실천함.,2024-05-01
본인의 삶에서 스스로 할 수 있는 일을 찾아보고 자주적인 삶의 습관으로 확장될 수 있도록 하기 위해 계획하고 실천함.,다양한 문제 상황 사례에서 본인이 선택할 수 있는 다양한 행동 방식을 찾아보고 올바른 삶에 근접한 말과 행동을 고르고 실생활에서 실천하고자 노력함.,2024-05-08
자주적으로 생활하는 습관을 기르기 위해 스스로 일을 계획하고 지속하여 실천하고자 노력함.,실생활 관련 문제 상황에서 어떻게 말하거나 행동하는 것이 올바른 삶일지 고민하며 찾아보고 본인의 삶에서 실천하고자 노력함.,2024-05-22
계획한 일을 꾸준히 실천하며 자주적으로 생활하는 습관이 체화될 수 있도록 노력함.,도덕적으로 본인의 말과 행동이 어떠했는지 돌아보면서 자신을 성찰하고 더 올바른 삶을 살기 위한 자신만의 구체적인 방법을 찾고 실천함.,2024-05-29
계획한 일을 꾸준히 실천해보며 자주적인 삶이 지닌 가치와 중요성을 깨닫고 내재화시키고자 함.,자신을 반성하고 올바른 삶을 사는 구체적인 방법을 고민한 후 생활 속에서 실천하기 위해 노력함.,2024-06-05
자주적인 삶의 의미와 중요성을 알고 습관화하기 위해서 계획을 세우고 꾸준히 실천하고자 노력함.,자신의 평소 행동을 돌아보고 이전보다 긍정적인 말과 행동을 할 것을 다짐하고 실제 행동으로 내재화시키기 위해 노력함.,2024-06-12
자주적인 생활의 의미를 알아보고 꾸준히 직접 실천해보며 중요성을 깨달아 습관화하고자 노력함.,자신을 돌아보고 올바른 내가 되기 위한 구체적인 방법을 생각하고 실천하면서 올바른 삶의 수준을 성장시키고자 노력함.,2024-06-19
자주성을 성장시키고 실현하기 위해 혼자서 꾸준히 해낼 수 있는 일을 찾아 활동을 계획하고 꾸준히 실천함.,올바른 삶을 살고자 노력한 다양한 사례를 살펴보고 본인의 삶과 비교하여 생각해본 후 구체적인 방법을 찾아 실천하며 올바른 삶을 습관화하는 것에 힘씀.,2024-06-26
스스로 해낼 수 있는 일을 찾아 꾸준히 실천하며 습관화하여 자주성을 성장시키고자 노력함.,바르게 사는 것의 장점과 가치를 다양한 사례를 읽고 느낀 후 올바른 삶을 살 것을 약속하고 구체적인 행동 방법을 찾아 꾸준히 실천함.,2024-06-26
생활 속 사례를 살펴보며 자주적인 삶의 의미와 가치를 느낀 후 실제 생활에서 스스로 자주성을 실현하고자 노력함.,여러 사례에서 올바른 삶과 그렇지 않은 경우를 비교해보고 올바른 삶의 중요성을 느끼고 생활 속에서 실천할 수 있는 방법을 찾아 실제 행동하는 것에 힘씀.,2024-06-26
실생활 사례를 보고 자주적인 삶을 모델링한 후 스스로 자주성을 습관화하기 위해 계획하고 실천함.,도덕적으로 올바른 삶이 지닌 영향력과 가치를 생각해보고 성찰하며 생활 속에서 올바르게 행동할 것을 다짐한 후 실천함.,
생활 계획을 세우고 스스로 꾸준하게 실천하면서 자주성을 실현하며 습관화하고자 노력함.,올바른 삶이 무엇인지 다양한 사례로 알아보고 비슷한 상황에 처했을 때 올바르게 생각하고 행동할 것을 다짐하고 꾸준히 실천함.,
자신이 할 수 있는 일을 찾아 생활 계획을 세우고 실천하면서 자주성을 학습하고 체화함.,올바르게 사는 것의 의미와 중요성을 알아보고 본인의 행동을 성찰한 후 더 올바른 방법에 대해 구체적으로 생각하고 꾸준히 실천함.,
스스로 세운 생활 계획을 실천하면서 자주성을 학습하고 가치를 깨달으며 자주적인 삶을 실천함.,자신을 돌아볼 수 있는 다양한 방법을 통해 말과 행동을 성찰하고 더 올바른 방법을 구체적으로 찾아본 후 실생활에서 실천함.,
자주적인 인간이 되기 위해 삶을 계획하고 스스로의 힘으로 일을 해나가는 노력을 꾸준히 함.,올바른 삶이 본인과 타인에게 줄 수 있는 긍정적인 영향의 가치를 느끼고 삶의 다양한 문제 상황에서 올바르게 말하고 행동할 수 있는 방법을 찾아 실천함.,
자주적인 삶을 체화하기 위해 생활 속에서 실천할 활동을 정하고 실천하면서 스스로를 점검함.,본인이 실천할 수 있는 성찰 방법을 선택하고 꾸준히 성찰하면서 자신의 생활이 수준 높은 올바른 삶으로 가꿔지도록 행동하는 것에 힘씀.,
실생활에서 실천할 행동을 정하고 실천 및 반성하며 자주적인 삶을 살 수 있는 능력을 성장시킴.,올바른 삶을 살아가기 위해 꾸준히 성찰하고 더 올바르게 행동하는 방법을 찾아 실천하는 것에 힘씀.,
